ENTITY_NAME	ATTRIBUTE_NAME	DOMAIN_NAME	#	Module	A/B/ID/RL/AS	CC/BIE	Business Term	Dictionary Entry Name	Object Class Term Qualifier	Object Class Term	Property Term Qualifier	Property Term	Datatype Qualifiry	Representation Term	Associate Object Class Term Qualifier	Associate Object Class Term	Relation Object Class Term Qualifier	Relation Object Class Term	DESCRIPTION	Card.
AR CASH APPLICATION	FISCAL YEAR	YEAR IDENTIFIER	922	6.O2C	RL	BIE	Fiscal Period	AR Cash Application_ Transaction Line. Recorded. Fiscal Period	AR Cash Application 	Transaction Line		Recorded						Fiscal Period	"Fiscal year in which the AR Application Date occurs. The year shall be shown in four digits as 'YYYY', which is part of the extended format and the 'YYYY-MM-DD' in ISO 8601-1. "	1..1
AR CASH APPLICATION	AR APPLICATION DATE	DATE	923	6.O2C	B	BIE	AR Application Date	AR Cash Application_ Transaction Line. AR Application Date. Date	AR Cash Application 	Transaction Line		AR Application Date		Date					"The date of the cash application transaction, regardless of the date the transaction is created."	1..1
AR CASH APPLICATION	CUSTOMER ACCOUNT ID	IDENTIFIER 100	924	6.O2C	RL	BIE	Customer Account ID	AR Cash Application_ Transaction Line. Customer Account ID. Customer_ Party	AR Cash Application 	Transaction Line		Customer Account ID					Customer	Party	The reference identifier for the customer from whom payment is expected or to whom unused credits have been applied. 	1..1
AR CASH APPLICATION	RECEIPT ID	IDENTIFIER 60	925	6.O2C	RL	BIE	Receipt ID	AR Cash Application_ Transaction Line. Receipt ID. Cash_ Receipt	AR Cash Application 	Transaction Line		Receipt ID					Cash	Receipt	"The reference identifier for the transactional document, from which AR is derived. "	1..1
AR CASH APPLICATION	INVOICE ID	IDENTIFIER 60	926	6.O2C	RL	BIE	Invoice ID	AR Cash Application_ Transaction Line. Invoice ID. Generated_ Invoice	AR Cash Application 	Transaction Line		Invoice ID					Generated	Invoice	"The reference identifier for each invoice, from which AR is derived. It may not be exitst."	1..1
AR CASH APPLICATION	SETTLEMENT METHOD CODE	IDENTIFIER 60	927	6.O2C	RL	BIE	Settlement Method Code	AR Cash Application_ Transaction Line. Settlement Method Code. Settlement method_ List	AR Cash Application 	Transaction Line		Settlement Method Code					Settlement method	List	"The code of the settlement method. Various methods can be used to settle transactions and transfer money; for example, check, wire transfer and cash. "	1..1
AR CASH APPLICATION	TRANSACTION AMOUNT	has a	928	6.O2C	AS	BIE	Transaction Amount	AR Cash Application_ Transaction Line. Transaction. Multi Currency Amount	AR Cash Application 	Transaction Line		Transaction				Multi Currency Amount			The monetary amount recorded in transaction currency.	1..1
AR CASH APPLICATION	REMARK	TEXT 500	929	6.O2C	B	BIE	Remark	AR Cash Application_ Transaction Line. Remark. Text	AR Cash Application 	Transaction Line		Remark		Text					Freeform text description.	0..1
AR CASH APPLICATION	GL DEBIT ACCOUNT NUMBER	GL ACCOUNT NUMBER 100	930	6.O2C	RL	BIE	GL Debit Account Number	AR Cash Application_ Transaction Line. Debit. Chart Of Accounts_ Accounting Account	AR Cash Application 	Transaction Line		Debit					Chart Of Accounts	Accounting Account	The GL account number on which the debit side of the transaction has been posted. 	1..1
AR CASH APPLICATION	GL CREDIT ACCOUNT NUMBER	GL ACCOUNT NUMBER 100	931	6.O2C	RL	BIE	GL Credit Account Number	AR Cash Application_ Transaction Line. Credit. Chart Of Accounts_ Accounting Account	AR Cash Application 	Transaction Line		Credit					Chart Of Accounts	Accounting Account	The GL account number on which the credit side of the transaction has been posted. 	1..1
AR CASH APPLICATION	CREATED	was	932	6.O2C	AS	BIE	Created	AR Cash Application_ Transaction Line. was. Created_ Handling	AR Cash Application 	Transaction Line		was			Created	Handling			A create handling of this entry	1..1
AR CASH APPLICATION	APPROVED	was	933	6.O2C	AS	BIE	Approved	AR Cash Application_ Transaction Line. was. Approved_ Handling	AR Cash Application 	Transaction Line		was			Approved	Handling			An approved handling of this entry	0..1
AR CASH APPLICATION	LAST MODIFIED	was	934	6.O2C	AS	BIE	Last Modified	AR Cash Application_ Transaction Line. was. Last Modified_ Handling	AR Cash Application 	Transaction Line		was			Last Modified	Handling			A last modified handling of this entry	0..1
AR CASH APPLICATION	BUSINESS SEGMENT X	TEXT 25	935	6.O2C	RL	BIE	Business Segment X	AR Cash Application_ Transaction Line. X. Business Segment_ List	AR Cash Application 	Transaction Line		X					Business Segment	List	"A reserved field that shall be used for business segments / structures. The 'X' signifies an organizational level. Each number used to replace the 'X' is associated with each reference reference level. For example, division, department, business unit, purchasing organization, project or legal entity."	1..1
AR ADJUSTMENT	AR ADJUSTMENTS		936	6.O2C	A	BIE	AR Adjustments	AR Adjustment_ Transaction. Detail. 	AR Adjustment 	Transaction		Detail							"Contains all adjustments recorded against the invoice and impacting the invoice balance during the period. For example, write-offs, credit memos, and other adjustments. The data set shall contain one record for each adjustment to each invoice. For example, if an adjustment transaction impacted three invoices, there shall be three records for that adjustment; one for each of the invoices impacted by the adjustment."	
AR ADJUSTMENT	ADJUSTMENT ID	IDENTIFIER 100	937	6.O2C	ID	BIE	AR Adjustment ID	AR Adjustment_ Transaction. ID	AR Adjustment 	Transaction		Identification		Identifier					The unique identifier for the adjustment of record.	1..1
AR ADJUSTMENT	ADJUSTMENT NUMBER	TEXT 100	938	6.O2C	B	BIE	Number	AR Adjustment_ Transaction. Number. Identifier	AR Adjustment 	Transaction		Number		Identifier					"The number of the adjustment of record. This number is generated either by manual input or by the system. This number can be created by concatenating fields to uniquely identify each transaction. For example; serial number, document type, and adjustment date."	1..1
AR ADJUSTMENT	ADJUSTMENT TYPE NAME	TEXT 60	939	6.O2C	B	BIE	Type Name	AR Adjustment_ Transaction. Type Name. Name	AR Adjustment 	Transaction		Type Name		Name					"The name of the method by which the transaction debit or credit amount was extinguished or apportioned to the debt by the customer; for example, credit memo, debit memo, finance charge and other adjustments."	1..1
AR ADJUSTMENT	ADJUSTMENT DOCUMENT NUMBER	TEXT 100	940	6.O2C	B	BIE	Document Number	AR Adjustment_ Transaction. Document Number. Identifier	AR Adjustment 	Transaction		Document Number		Identifier					"The number of an internally generated adjustment document; for example, credit memo. for example, document number, document type, and year. The number is usually generated by manual input or is system generated;"	1..1
AR ADJUSTMENT	INVOICE ID	IDENTIFIER 60	941	6.O2C	RL	BIE	Invoice ID	AR Adjustment_ Transaction. Invoice ID. Generated_ Invoice	AR Adjustment 	Transaction		Invoice ID					Generated	Invoice	"The reference identifier for each invoice, from which AR is derived. This field represents the invoice against which the adjustment is applied, if relevant. It may not be exitst."	1..1
AR ADJUSTMENT	JOURNAL ID	IDENTIFIER 100	942	6.O2C	RL	BIE	Journal ID	AR Adjustment_ Transaction. Journal ID. GLDetail_ List	AR Adjustment 	Transaction		Journal ID					GLDetail	List	The reference identifier for journal entry. 	0..1
AR ADJUSTMENT	FISCAL YEAR	YEAR IDENTIFIER	943	6.O2C	RL	BIE	Fiscal Period	AR Adjustment_ Transaction. Recorded. Fiscal Period	AR Adjustment 	Transaction		Recorded						Fiscal Period	"Fiscal year in which the Adjustment Date occurs. The year shall be shown in four digits as 'YYYY', which is part of the extended format and the 'YYYY-MM-DD' in ISO 8601-1. "	1..1
AR ADJUSTMENT	ADJUSTMENT DATE	DATE	944	6.O2C	B	BIE	Adjustment Date	AR Adjustment_ Transaction. Adjustment Date. Date	AR Adjustment 	Transaction		Adjustment Date		Date					"The date of the adjustment, regardless of the date the adjustment is entered."	1..1
AR ADJUSTMENT	CUSTOMER ACCOUNT ID	IDENTIFIER 100	945	6.O2C	RL	BIE	Customer Account ID	AR Adjustment_ Transaction. Recorded. Customer_ List	AR Adjustment 	Transaction		Recorded					Customer	List	The unique identifier for the customer from whom payment is expected or to whom unused credits have been applied. 	1..1
AR ADJUSTMENT	ADJUSTED AMOUNT	has an	946	6.O2C	AS	BIE	Adjusted Amount	AR Adjustment_ Transaction. Adjusted. Multi Currency Amount	AR Adjustment 	Transaction		Adjusted				Multi Currency Amount			A monetary amount in multi currency	1..1
AR ADJUSTMENT	CREATED	was	947	6.O2C	AS	BIE	Created	AR Adjustment_ Transaction. was. Created_ Handling	AR Adjustment 	Transaction		was			Created	Handling			A create handling of this entry	1..1
AR ADJUSTMENT	APPROVED	was	948	6.O2C	AS	BIE	Approved	AR Adjustment_ Transaction. was. Approved_ Handling	AR Adjustment 	Transaction		was			Approved	Handling			An approved handling of this entry	0..1
AR ADJUSTMENT	LAST MODIFIED	was	949	6.O2C	AS	BIE	Lastmodified	AR Adjustment_ Transaction. was. Last Modified_ Handling	AR Adjustment 	Transaction		was			Last Modified	Handling			A last modified handling of this entry	0..1
AR ADJUSTMENT	TAX		950	6.O2C	AS	BIE	Local Currency Tax	AR Adjustment_ Transaction. Charged. Local Currency Tax_ List	AR Adjustment 	Transaction		Charged			Local Currency Tax	List			The charged tax	1..n
AR ADJUSTMENT	GL DEBIT ACCOUNT NUMBER	GL ACCOUNT NUMBER 100	951	6.O2C	RL	BIE	GL Debit Account Number	AR Adjustment_ Transaction. Debit. Chart Of Accounts_ Accounting Account	AR Adjustment 	Transaction		Debit					Chart Of Accounts	Accounting Account	The GL account number on which the debit side of the transaction has been posted. 	0..1
AR ADJUSTMENT	GL CREDIT ACCOUNT NUMBER	GL ACCOUNT NUMBER 100	952	6.O2C	RL	BIE	GL Credit Account Number	AR Adjustment_ Transaction. Credit. Chart Of Accounts_ Accounting Account	AR Adjustment 	Transaction		Credit					Chart Of Accounts	Accounting Account	The GL account number on which the credit side of the transaction has been posted. 	0..1
AR ADJUSTMENT	BUSINESS SEGMENT X	TEXT 25	953	6.O2C	RL	BIE	Business Segment X	AR Adjustment_ Transaction. X. Business Segment_ List	AR Adjustment 	Transaction		X					Business Segment	List	"A reserved field that shall be used for business segments / structures. The 'X' signifies an organizational level. Each number used to replace the 'X' is associated with each reference reference level. For example, division, department, business unit, purchasing organization, project or legal entity."	1..1
AR ADJUSTMENT DETAILS	AR ADJUSTMENT DETAILS		954	6.O2C	A	BIE	AR Adjustment Details	AR Adjustment Details_ Transaction. Detail. 	AR Adjustment Details 	Transaction		Detail							Contains line item details for the invoices included in the AR Adjustments. The file will record for each invoice line item impacted by each adjustment.	
AR ADJUSTMENT DETAILS	ADJUSTMENT ID	IDENTIFIER 100	955	6.O2C	RL	BIE	Adjustment ID	AR Adjustment Details_ Transaction. Header. AR Adjustment_ Transaction	AR Adjustment Details 	Transaction		Header					AR Adjustment 	Transaction	The reference identifier for the adjustment of record. Typically autogenerated by the system. 	1..1
AR ADJUSTMENT DETAILS	ADJUSTMENT LINE ID	IDENTIFIER 60	956	6.O2C	ID	BIE	AR Adjustment Line ID	AR Adjustment Details_ Transaction. ID	AR Adjustment Details 	Transaction		Identification		Identifier					The unique identifier for the adjustment line.	1..1
AR ADJUSTMENT DETAILS	ADJUSTMENT LINE NUMBER	TEXT 10	957	6.O2C	B	BIE	Line Number	AR Adjustment Details_ Transaction. Line Number. Code	AR Adjustment Details 	Transaction		Line Number		Code					The number of the Line of the adjustment of record. This number is generated either by manual input or by the system.	1..1
AR ADJUSTMENT DETAILS	INVOICE ID	IDENTIFIER 60	958	6.O2C	RL	BIE	Invoice ID	AR Adjustment Details_ Transaction. Invoice ID. Received_ Invoice	AR Adjustment Details 	Transaction		Invoice ID					Received	Invoice	"The reference identifier for the invoice, from which AR is derived. This field represents the invoice to which the adjustment is applied, if relevant. It may not be exitst."	1..1
AR ADJUSTMENT DETAILS	INVOICE LINE ID	IDENTIFIER 60	959	6.O2C	RL	BIE	Invoice Line ID	AR Adjustment Details_ Transaction. Invoice Line ID. Received_ Invoice Line	AR Adjustment Details 	Transaction		Invoice Line ID					Received	Invoice Line	The reference identifier for an invoice line. It may not be exitst.	1..1
AR ADJUSTMENT DETAILS	JOURNAL ID	IDENTIFIER 100	960	6.O2C	RL	BIE	Journal ID	AR Adjustment Details_ Transaction. Journal ID. GL Details_ List	AR Adjustment Details 	Transaction		Journal ID					GL Details	List	The reference identifier for journal entry. 	0..1
AR ADJUSTMENT DETAILS	ADJUSTED AMOUNT	has a	961	6.O2C	AS	BIE	Adjusted Amount	AR Adjustment Details_ Transaction. Adjusted. Multi Currency Amount	AR Adjustment Details 	Transaction		Adjusted				Multi Currency Amount			A monetary amount in multi currency	1..1
AR ADJUSTMENT DETAILS	TAX		962	6.O2C	AS	BIE	Local Currency Tax	AR Adjustment Details_ Transaction. Charged. Local Currency Tax_ List	AR Adjustment Details 	Transaction		Charged			Local Currency Tax	List			The charged tax	1..n
AR ADJUSTMENT DETAILS	GL DEBIT ACCOUNT NUMBER	GL ACCOUNT NUMBER 100	963	6.O2C	RL	BIE	GL Debit Account Number	AR Adjustment Details_ Transaction. Debit. Chart Of Accounts_ Accounting Account	AR Adjustment Details 	Transaction		Debit					Chart Of Accounts	Accounting Account	The GL account number on which the debit side of the transaction has been posted. 	0..1
